Time,BioZ
0,3139.746189
0.015625,2415.013313
0.03125,2574.622631
0.046875,2677.071095
0.0625,2627.325058
0.078125,2603.411674
0.09375,2598.202229
0.109375,2593.684196
0.125,2589.380741
0.140625,2585.399151
0.15625,2581.739426
0.171875,2578.139305
0.1875,2574.491501
0.203125,2571.034431
0.21875,2567.648888
0.234375,2564.036846
0.25,2560.61554
0.265625,2557.361126
0.28125,2554.166317
0.296875,2551.186085
0.3125,2548.313141
0.328125,2545.464039
0.34375,2542.424202
0.359375,2539.479733
0.375,2536.88097
0.390625,2534.353733
0.40625,2531.898022
0.421875,2529.156208
0.4375,2526.211739
0.453125,2523.732185
0.46875,2521.455288
0.484375,2518.606186
0.5,2515.661716
0.515625,2513.456345
0.53125,2511.489391
0.546875,2509.224415
0.5625,2507.066727
0.578125,2505.159378
0.59375,2503.156662
0.609375,2501.118183
0.625,2499.353886
0.640625,2497.696877
0.65625,2495.718002
0.671875,2493.739128
0.6875,2491.927147
0.703125,2490.305901
0.71875,2488.696575
0.734375,2486.83691
0.75,2484.810352
0.765625,2482.891083
0.78125,2481.305599
0.796875,2479.767799
0.8125,2477.896214
0.828125,2475.988865
0.84375,2474.403381
0.859375,2472.770214
0.875,2471.196651
0.890625,2469.76614
0.90625,2468.168736
0.921875,2466.750145
0.9375,2465.653419
0.953125,2464.437485
0.96875,2463.066578
0.984375,2461.55262
1,2460.193634
1.015625,2459.23996
1.03125,2458.21476
1.046875,2456.903458
1.0625,2455.508709
1.078125,2454.268932
1.09375,2453.100681
1.109375,2451.658249
1.125,2450.096607
1.140625,2449.059486
1.15625,2448.189259
1.171875,2446.889877
1.1875,2445.495129
1.203125,2444.303036
1.21875,2443.32552
1.234375,2442.502975
1.25,2441.740036
1.265625,2441.215515
1.28125,2440.822124
1.296875,2440.369129
1.3125,2439.749241
1.328125,2438.759804
1.34375,2437.30545
1.359375,2435.910702
1.375,2434.945107
1.390625,2434.182167
1.40625,2433.633804
1.421875,2433.180809
1.4375,2432.656288
1.453125,2432.119846
1.46875,2431.440353
1.484375,2430.617809
1.5,2429.890633
1.515625,2429.199219
1.53125,2428.56741
1.546875,2428.436279
1.5625,2428.305149
1.578125,2427.423
1.59375,2426.3978
1.609375,2425.75407
1.625,2425.11034
1.640625,2424.359322
1.65625,2423.810959
1.671875,2423.584461
1.6875,2423.369884
1.703125,2422.881126
1.71875,2422.213554
1.734375,2421.51022
1.75,2420.818806
1.765625,2420.437336
1.78125,2420.210838
1.796875,2419.555187
1.8125,2418.792248
1.828125,2418.30349
1.84375,2417.755127
1.859375,2417.159081
1.875,2416.694164
1.890625,2416.276932
1.90625,2416.098118
1.921875,2416.086197
1.9375,2415.907383
1.953125,2415.168285
1.96875,2414.369583
1.984375,2413.856983
2,2413.225174
2.015625,2412.486076
2.03125,2411.997318
2.046875,2412.02116
2.0625,2411.830425
2.078125,2410.888672
2.09375,2409.815788
2.109375,2409.32703
2.125,2409.172058
2.140625,2408.826351
2.15625,2408.42104
2.171875,2408.385277
2.1875,2408.42104
2.203125,2408.337593
2.21875,2408.218384
2.234375,2408.242226
2.25,2408.516407
2.265625,2409.06477
2.28125,2409.446239
2.296875,2409.7085
2.3125,2409.934998
2.328125,2409.827709
2.34375,2409.279346
2.359375,2408.909798
2.375,2409.088612
2.390625,2409.267426
2.40625,2408.850193
2.421875,2408.1707
2.4375,2408.313751
2.453125,2409.040928
2.46875,2408.885956
2.484375,2407.944202
2.5,2407.646179
2.515625,2407.991886
2.53125,2408.385277
2.546875,2408.528328
2.5625,2408.349514
2.578125,2407.968044
2.59375,2407.443523
2.609375,2406.919003
2.625,2406.513691
2.640625,2406.251431
2.65625,2406.024933
2.671875,2405.929565
2.6875,2406.227589
2.703125,2406.513691
2.71875,2406.096458
2.734375,2405.118942
2.75,2403.819561
2.765625,2402.126789
2.78125,2400.135994
2.796875,2397.322655
2.8125,2393.436432
2.828125,2390.07473
2.84375,2388.012409
2.859375,2386.426926
2.875,2385.342121
2.890625,2384.626865
2.90625,2383.327484
2.921875,2381.825447
